,time,x,y,z,xdot,ydot,zdot,qx,qy,qz,qw,wx,wy,wz,windx,windy,windz,r1,r2,r3,r4,xdes,ydes,zdes,xdotdes,ydotdes,zdotdes,xddotdes,yddotdes,zddotdes,xdddotdes,ydddotdes,zdddotdes,xddddotdes,yddddotdes,zddddotdes,yawdes,yawdotdes,ax,ay,az,ax_gt,ay_gt,az_gt,gx,gy,gz,mocap_x,mocap_y,mocap_z,mocap_xdot,mocap_ydot,mocap_zdot,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_wx,mocap_wy,mocap_wz,r1des,r2des,r3des,r4des,thrustdes,qxdes,qydes,qzdes,qwdes,mxdes,mydes,mzdes
56,0.5600000000000003,0.3888316457396268,0.834702193289295,0.782487992498929,0.9264097798186657,2.5155102483114766,0.6516168483891571,0.22522958187687472,-0.15836684651710423,-0.07550776076227977,0.9583789205927177,3.6807229768504426,-0.9058723538725665,-0.24245667772240176,0.0,0.0,0.0,441.99385381386463,615.1076299788948,552.4490444118056,555.6320499337307,0.7624425110114477,0.6470559615694446,0.6470559615694446,-0.8131145021312186,0.9581135165512475,0.9581135165512475,-1.2040009539609928,-1.0217898185691034,-1.0217898185691034,1.284018955011817,-1.5129922207515831,1.5129922207515831,1.901282098260672,1.613545806454067,1.613545806454067,0.0,0.0,-1.0112421706687753,-1.5347577717490506,13.253053387762687,-0.27108146022618723,-1.4099934628691093,14.290222645731507,3.6805114289021144,-0.9073104366642272,-0.2428810225467108,0.3824774817626686,0.8365337591149734,0.7786444358468723,0.9336827121993699,2.5108472657370227,0.6487506539286036,0.22581297994512,-0.15983430770622986,-0.07386156709910313,0.9581262761630327,3.679486016425218,-0.8987559927067751,-0.2421973744997961,457.7390160864833,613.6545974415385,558.1594670563501,557.5308002558667,6.731231125290966,0.3478169252362495,-0.19615125966584435,-0.07466300503797978,0.9137688468805457,-0.11231749015092142,0.02429537306210337,-0.02262299625283811
57,0.5700000000000003,0.39809574353781346,0.8598572957724098,0.7890041609828206,0.8745923690167311,2.4453125735335055,0.6675977205472393,0.2426734424620742,-0.16379472913225637,-0.07476173017914078,0.953253151441273,3.2676816745217083,-0.8252446424935934,-0.27487150806296373,0.0,0.0,0.0,473.4841783591019,612.2015649041822,563.8698897008945,559.4295505780026,0.7542513807361036,0.6565857557529566,0.6565857557529566,-0.8250899946900763,0.9478202386722004,0.9478202386722004,-1.1910660394945236,-1.036838666347514,-1.036838666347514,1.3029298948620756,-1.4967377278465144,1.4967377278465144,1.8808561000613155,1.6373099943364873,1.6373099943364873,0.0,0.0,-0.1797143912361199,-2.0889039169428463,16.244822270662603,-0.25260797103542026,-1.3873791515728966,14.793320813473796,3.268281178623799,-0.8258730015290232,-0.27417978426005446,0.39459899795827286,0.8525426912205325,0.7909956318536494,0.8699891165034573,2.4452277483266007,0.6625251382413456,0.2444282094584411,-0.1623993127315964,-0.07092495452747354,0.9533367529212966,3.2701146835469164,-0.8223394662138905,-0.2804075109198104,484.1432141450223,590.3452480603601,574.5627871353486,534.0939993363057,6.674424948302362,0.34935387158826975,-0.1974490404954978,-0.07556688515945484,0.9128282394191098,-0.1064457894272296,0.021745035117105422,-0.00941757348646757
58,0.5800000000000003,0.40684166722798076,0.8843104215077449,0.795680138188293,0.8197917605262892,2.368969312882891,0.6846137363794003,0.2581278193312504,-0.16859193704687014,-0.07438638923449048,0.9483741101204377,2.906033781744032,-0.759703553341406,-0.2993726978258753,0.0,0.0,0.0,494.80224993094265,568.4889312165379,585.2556845698026,508.75844809460887,0.7459411454241819,0.6660118674342519,0.6660118674342519,-0.836935195974026,0.9373772889899862,0.9373772889899862,-1.1779430418931427,-1.0517237852810934,-1.0517237852810934,1.321635086977893,-1.4802468827034845,1.4802468827034845,1.8601330928801836,1.6608156319905023,1.6608156319905023,0.0,0.0,-0.111160474542061,-0.1563167235016476,14.162388413280889,-0.22328676785523754,-1.3076880166138736,14.100567605920268,2.90683021300649,-0.7602253441516731,-0.2989640866409921,0.4102311236607305,0.8839072196878474,0.8001208452320057,0.8177359659685599,2.374113129604958,0.6831457106898371,0.2566656842840495,-0.16800125663581597,-0.07518756425412265,0.9488124864594265,2.9047121342550275,-0.764982238090796,-0.30711208013840335,506.39869877006157,565.4443721534536,590.4556613283705,507.7354490991919,6.587082859911675,0.35053756010911324,-0.1987682654967449,-0.07639727696633918,0.9120186684801435,-0.1031993912981533,0.02026501513173187,0.003747467194071824
59,0.5900000000000003,0.41503958483324366,0.9080001146365738,0.802526275552087,0.7664984030329048,2.292788974943397,0.6933545775047354,0.2718466955182087,-0.172869129392319,-0.07432834426388181,0.9437642372319274,2.539598940874356,-0.6892824880029446,-0.2948432672488028,0.0,0.0,0.0,517.9951476091805,562.3998130903693,595.6556380869384,506.7124501037749,0.7375131173581736,0.6753328081210247,0.6753328081210247,-0.8486482354884706,0.9267863165674181,0.9267863165674181,-1.1646340334302978,-1.066442824837008,-1.066442824837008,1.3401315775925964,-1.4635222894181095,1.4635222894181095,1.839116349120339,1.6840590076034403,1.6840590076034403,0.0,0.0,1.3757595117058832,0.14030860540765877,16.52814823489833,-0.20217612936440932,-1.273388428714672,14.399961411923293,2.5392870915685313,-0.6894971496613402,-0.29471361413817715,0.41590282415441443,0.9004800368984002,0.7984046362602668,0.761514850264643,2.285613537791747,0.6818366506311558,0.2719291768415471,-0.17203087161117017,-0.0761592065990622,0.9437476766833289,2.536947272903194,-0.6902094769738101,-0.29674070153421955,524.7872014064478,543.4838098206907,603.1282889057996,484.8341370582078,6.5146950131938,0.34997253199599726,-0.1996626109863296,-0.07661705451702326,0.9120218723142378,-0.0995451634093222,0.018782222845356238,0.014786810479619312
60,0.6000000000000003,0.4227045688635727,0.9309280043860078,0.8094598213271343,0.7112244221729013,2.212363219740662,0.7019251598328196,0.28380441620075814,-0.1766493085195476,-0.07445493614138811,0.9395246338594292,2.2101386136910772,-0.6302399569702495,-0.2819007514823525,0.0,0.0,0.0,531.5792552037151,524.567806551012,610.6009397246609,462.9558240126406,0.7289686274214113,0.684547105928689,0.684547105928689,-0.8602272636086893,0.9160489938418164,0.9160489938418164,-1.1511411157527087,-1.0809934607082834,-1.0809934607082834,1.3584164458958998,-1.446566588997547,1.446566588997547,1.8178091875692557,1.7070364507768463,1.7070364507768463,0.0,0.0,0.10434390499346391,0.017072450624055158,14.026192047636336,-0.17463824199901173,-1.1965047543889018,13.786529271169787,2.2091950402179132,-0.6297712662040945,-0.28159327936450135,0.4251118102946877,0.928488020515777,0.8104573268480876,0.702935403557289,2.213031254955781,0.6986893988544552,0.2830480779575743,-0.1767345367449527,-0.0736418512896234,0.9398008123132833,2.212905127712323,-0.6320164106436869,-0.28717119587018347,539.3740384571297,521.4689981702089,614.3544052103051,461.38943262962897,6.423133579288909,0.34886368464708045,-0.2005037671617955,-0.07667627772982273,0.9122571552593545,-0.09745885120282619,0.018384276430388966,0.024962196699638308
61,0.6100000000000003,0.42981681308530173,0.9530516365834144,0.8164790729254625,0.6575437677375372,2.132983087587147,0.7036762144464193,0.2941814654614095,-0.180020629509017,-0.07471641964494087,0.9356640930192821,1.8782463250225565,-0.5653162909667825,-0.24695688414439948,0.0,0.0,0.0,547.1688217105443,518.3701897894058,618.1078706959494,459.8230412466173,0.7203090248879066,0.6936533058128053,0.6936533058128053,-0.8716704518719133,0.9051670163609099,0.9051670163609099,-1.1374664195484907,-1.095373395180839,-1.095373395180839,1.3764868044951335,-1.4293824589434494,1.4293824589434494,1.796214972874742,1.7297443331060804,1.7297443331060804,0.0,0.0,-0.14648858547626678,0.4509384632603948,13.933632614870739,-0.1535748084749772,-1.1571325490881166,13.94937419616275,1.8782464031181465,-0.5656922321352473,-0.24614191983120937,0.42774829644565676,0.9497472741229065,0.8147397102467253,0.6629372546338517,2.1329369013124344,0.7066894484442312,0.29383788887446843,-0.17825748289807705,-0.07353106308025655,0.9362033687265416,1.8756371150269617,-0.5629367974994263,-0.2444347590170255,550.7758544670419,502.8196411132367,622.5463856294305,442.1280343522947,6.345471187461151,0.34625754851595997,-0.20094837180510156,-0.07619413952326731,0.9131921567046584,-0.0947830666736494,0.017984076309731856,0.03299540252695913
62,0.6200000000000003,0.4363922507626771,0.9743814674592859,0.8235158350699268,0.6026078960416197,2.0508809853647403,0.7047530915596052,0.3029647973989549,-0.18299484884696438,-0.07500901107916615,0.9322547211408546,1.5741754483587564,-0.5077843965999891,-0.20559408674493457,0.0,0.0,0.0,554.3828872235395,487.26909243706757,626.9849005629115,424.4330274579721,0.7115356772092851,0.7026499697988494,0.7026499697988494,-0.8829759932660621,0.8941421025150914,0.8941421025150914,-1.123612104210697,-1.1095803574963246,-1.1095803574963246,1.3943397998711957,-1.411972612829158,1.411972612829158,1.7743371150136273,1.7521790687532846,1.7521790687532846,0.0,0.0,-0.6491044106355197,-4.068772012194758,11.110560553741152,-0.1291927158098086,-1.086265055215737,13.406818344915546,1.574060931057557,-0.5078493657173194,-0.20531792759895254,0.43337570428770644,0.9723596843148424,0.8249963558234261,0.5996426922756469,2.0484758195534543,0.6999229431858468,0.3043499777640123,-0.17998607401754124,-0.07184439831728887,0.9326384543997873,1.5767051418761309,-0.5063824270459035,-0.20253727079510528,559.0000706636051,485.1251109819959,628.9513069060674,423.9690186085406,6.255984086208134,0.3430459757072534,-0.20127900053366618,-0.07551281072214722,0.9143872472383175,-0.09286475143991715,0.01841423825129351,0.03984320238451926
63,0.6300000000000003,0.4424183297230933,0.9948902773129333,0.8305633659855228,0.5492654081669616,1.9704065951512453,0.700314159102446,0.31028935597153967,-0.1856342723479791,-0.07529360070345481,0.9292961348212485,1.2709753360378258,-0.4443321545821286,-0.1490040901067202,0.0,0.0,0.0,563.6172541036708,482.9811295269242,630.9177132492233,423.50500975910904,0.702649969798849,0.7115356772092856,0.7115356772092856,-0.894142102515092,0.8829759932660616,0.8829759932660616,-1.1095803574963239,-1.123612104210698,-1.123612104210698,1.411972612829159,-1.3943397998711948,1.3943397998711948,1.7521790687532834,1.7743371150136285,1.7743371150136285,0.0,0.0,0.36130475280685814,-0.9065193104646019,12.586344811622366,-0.10971314648462058,-1.0463260927654188,13.482659701074862,1.2697603513359261,-0.4447136046912577,-0.14872721272125558,0.44722225753431455,0.9954549599789503,0.8289206826767442,0.5644134529624396,1.9723255945544054,0.6956285866243442,0.3089003630792069,-0.18526588053136034,-0.07633845320180348,0.9297470407391627,1.2677250769620976,-0.43886831554363603,-0.15303434063685264,564.5678339626862,471.05017812220007,632.6135523342081,410.5651095975986,6.1792951997542875,0.3385876942599845,-0.20122528871533196,-0.0743679415662267,0.916152916135915,-0.09024832518982726,0.018840401748633447,0.04467392820515574
64,0.6400000000000003,0.4479109838047629,1.0145943432644458,0.8375665075765473,0.495179961292007,1.8883709623195886,0.6951324789884415,0.31615869094519317,-0.18794185185461681,-0.07549388847838208,0.9268345134184919,0.9907776361820955,-0.38527531753557415,-0.08903877484852585,0.0,0.0,0.0,565.5184138217016,459.11922671747595,634.3093914191928,397.6252094360882,0.6936533058128047,0.7203090248879072,0.7203090248879072,-0.9051670163609107,0.8716704518719126,0.8716704518719126,-1.0953733951808382,-1.1374664195484916,-1.1374664195484916,1.4293824589434505,-1.3764868044951324,1.3764868044951324,1.7297443331060791,1.7962149728747434,1.7962149728747434,0.0,0.0,-0.7482672645758883,-0.2508646987130386,10.071898057527147,-0.08888494038662169,-0.9830962468862147,13.002243491646333,0.9898609831078534,-0.3855104740221117,-0.0893239495727298,0.44669751538939806,1.0152691038411639,0.8372338001517582,0.49984067436407625,1.892662040621481,0.701588355868782,0.3205760336454041,-0.18948864405253696,-0.077198332855552,0.9248597071078594,0.9847665698667368,-0.38374863848250723,-0.09179411469547963,567.5293427544796,458.59375872198166,634.421039930705,399.33529014013607,6.095565817982719,0.33355732155644513,-0.20101006444845199,-0.07302541623154331,0.9181512706579071,-0.08787301903169938,0.019792805197618023,0.048253167377347646
65,0.6500000000000004,0.452862783417683,1.0334780528876417,0.8445178323664316,0.44265234660696656,1.8083369332886388,0.6855687729616246,0.3206838046728449,-0.18995781838795686,-0.07558343213613873,0.9248594863223051,0.7151100741979182,-0.3208621667098689,-0.01996306561217695,0.0,0.0,0.0,569.5402716872575,458.06829072648736,634.5326884422171,401.04537084418394,0.6845471059286883,0.7289686274214119,0.7289686274214119,-0.916048993841817,0.8602272636086884,0.8602272636086884,-1.0809934607082823,-1.1511411157527096,-1.1511411157527096,1.446566588997548,-1.3584164458958985,1.3584164458958985,1.7070364507768447,1.817809187569257,1.817809187569257,0.0,0.0,0.6305675710013182,-2.4360040782505497,12.18078214269859,-0.07153887759407916,-0.9451535250701065,13.026957892575073,0.7147159885969211,-0.32190823014840125,-0.019764485661460177,0.4461673488166213,1.038590926743735,0.8444833476024873,0.44266140109824703,1.8186205030202922,0.6820263916702298,0.32253979794079707,-0.1888468392781323,-0.07529177092949423,0.9244653045243341,0.7184800540969263,-0.3113632045882222,-0.02068441033684599,568.2971848944636,449.7845462808012,633.8159145332028,393.02007660868526,6.023705589687359,0.3275284914402592,-0.20041755812545645,-0.07130529848061297,0.9205832086772429,-0.084767748450483,0.020702486202248318,0.05003622038502526
66,0.6600000000000004,0.45728930688375263,1.051561422220528,0.8513735200960478,0.38973918061664625,1.7275926063030398,0.6754492083874161,0.32388589895099645,-0.19167835080795462,-0.07551043981044088,0.9233934739708103,0.46051707004441894,-0.25900272358102255,0.04913730819279685,0.0,0.0,0.0,567.0540981016698,441.500801835115,633.0991406241884,384.9947823731866,0.6753328081210241,0.7375131173581742,0.7375131173581742,-0.9267863165674187,0.8486482354884699,0.8486482354884699,-1.066442824837007,-1.1646340334302987,-1.1646340334302987,1.4635222894181106,-1.3401315775925953,1.3401315775925953,1.684059007603439,1.8391163491203404,1.8391163491203404,0.0,0.0,2.4389001422671437,-1.4711758858781647,12.922148860752912,-0.053960951651697536,-0.8897710562195986,12.600821087457188,0.45908841727335825,-0.25963315778754015,0.04896503665686629,0.4632413522295344,1.050630392581399,0.8472957053515495,0.38821935089802984,1.737326353521899,0.6755497013602225,0.3248145768650826,-0.1906761493546385,-0.07401361155655332,0.923395950839942,0.4637616090630893,-0.26462021824134185,0.05448206480929636,566.9908539697583,442.86742917342076,631.469215444742,389.20364314677937,5.9478857005004295,0.32102573420935676,-0.1996329816314686,-0.0694198275835689,0.9231847259127183,-0.08163725351447308,0.021842807401170315,0.050676450951456044
